state,year,enrolments,isi,afi,demo_updates,bio_updates,population_density,digital_literacy_index,policy_age_updates,total_bio_updates,pur,afi_normalized,isi_normalized
Uttar Pradesh,2019,633865,0.6923249419627835,0.3346584583390824,158036,72632,403.810730854319,0.40576733099067636,18158.0,72632,0.25,0.3352606627594204,0.7489174420321961
Uttar Pradesh,2020,782243,0.6947519602857951,0.29945518776520896,221568,137420,255.9820109445614,0.5552442929093395,34355.0,137420,0.25,0.41500275489841393,0.7067124050029091
Uttar Pradesh,2021,709378,0.6889153341462523,0.26525294082778733,177540,74812,490.5430749504439,0.49277959247202197,18703.0,74812,0.25,0.32937164671021657,0.752235089769434
Uttar Pradesh,2022,805827,0.6041781000133198,0.2203848671575044,145974,60572,304.09960617444824,0.7240754461783625,15143.0,60572,0.25,0.23752368684593592,0.808065340994555
Uttar Pradesh,2023,783159,0.6523648579036752,0.2524311570688425,164846,108457,181.65322138569806,0.46724806168836686,27114.25,108457,0.25,0.3143534710065261,0.7608303413496557
Maharashtra,2019,1027520,0.7515598725858599,0.0654106954951933,202461,146374,478.6208920375744,0.7500885323565678,36593.5,146374,0.25,0.30387875661787606,0.7669424744628055
Maharashtra,2020,1001508,0.7444004515518056,0.05458002780185787,255834,127722,392.50536491510223,0.4827620604733865,31930.5,127722,0.25,0.3510960471608814,0.7401398309922856
Maharashtra,2021,828353,0.6545351874460965,0.07148233202035108,107276,58178,430.99436977535265,0.6656246964518666,14544.5,58178,0.25,0.18218018163753857,0.8458947422167192
Maharashtra,2022,1385895,0.666062817531264,0.05968841120729609,248305,100644,348.5247761929828,0.8202119915280446,25161.0,100644,0.25,0.23363097492955814,0.8106151842183609
Maharashtra,2023,1385886,0.677333969794835,0.048035499578087094,267376,248470,366.404817065581,0.5072838291546684,62117.5,248470,0.25,0.3273923684920693,0.7533567494711527
Bihar,2019,199962,0.6681590085787658,0.19133936188442352,26633,38373,338.7338942609459,0.8269292953940708,9593.25,38373,0.25,0.2771164021164021,0.7830139823925427
Bihar,2020,267203,0.6683570669510639,0.17351984364676956,53410,48981,312.9326332110249,0.6234753528200079,12245.25,48981,0.25,0.3373680310475556,0.7477373294295839
Bihar,2021,187125,0.6174652890531894,0.17112110798424243,54410,31706,455.1337740059506,0.6317081223674745,7926.5,31706,0.25,0.4178463593854375,0.705295036645189
Bihar,2022,224555,0.6214117531583349,0.161960933163035,58926,34408,460.0103286010449,0.5353580983056033,8602.0,34408,0.25,0.37733294738482775,0.7260408617239005
Bihar,2023,322038,0.641337657428984,0.15439131287759242,65082,64092,108.99084680877205,0.6668304228667719,16023.0,64092,0.25,0.3513591563728504,0.7399957259949126
West Bengal,2019,456024,0.8364416029692446,0.15023663360612802,117555,75306,232.53193171700667,0.8690085443909947,18826.5,75306,0.25,0.3816345192358297,0.72378041086661
West Bengal,2020,568449,0.8308365947899452,0.15546732966580876,149308,80285,109.6677500703227,0.7907773179397305,20071.25,80285,0.25,0.36858495661000373,0.730681712647937
West Bengal,2021,546315,0.6695138724203589,0.11609561693389404,114842,62940,217.14943242164657,0.8311468382120987,15735.0,62940,0.25,0.29661825137512243,0.7712370228781329
West Bengal,2022,692722,0.7492235528749936,0.11412318728712248,178987,69988,293.4959121762963,0.6958020606045322,17497.0,69988,0.25,0.33415713662912394,0.7495368967755898
West Bengal,2023,774344,0.6823114064035897,0.12999834831706986,167007,94920,216.8439899871009,0.40647419145313923,23730.0,94920,0.25,0.3076113458617875,0.7647532297457584
Madhya Pradesh,2019,584915,0.8516258644860999,0.08943000595019532,97140,60949,323.7656877755684,0.8158394749171634,15237.25,60949,0.25,0.24422651154441244,0.8037121783868252
Madhya Pradesh,2020,905707,0.8226863719295353,0.09560075631395636,177833,167841,413.5277397015132,0.6048039013660158,41960.25,167841,0.25,0.3353333362776262,0.7488766833213338
Madhya Pradesh,2021,699547,0.8554471188748785,0.07174795483099596,91010,105422,100.36155247039922,0.8021199471430903,26355.5,105422,0.25,0.2431237643789481,0.8044251334054335
Madhya Pradesh,2022,768207,0.8969935724974135,0.09120435515399583,107568,135737,292.99033975216173,0.4509737876888614,33934.25,135737,0.25,0.2725447047475485,0.7858270096675175
Madhya Pradesh,2023,1094320,0.8825404774742357,0.07369278079254622,294143,89193,378.41890906392564,0.44889348601587564,22298.25,89193,0.25,0.32991972183639157,0.7519250850864675
Tamil Nadu,2019,804418,0.5972701180614224,0.22053338202552333,120470,48491,240.99301264238275,0.793951765390101,12122.75,48491,0.25,0.19497108468482804,0.8368403326376291
Tamil Nadu,2020,1087832,0.5840467186043019,0.25560051498097325,192809,78138,385.2459560367457,0.6966277818979748,19534.5,78138,0.25,0.2311133520617154,0.8122728896777249
Tamil Nadu,2021,677143,0.5545154508183915,0.2266577999761833,167809,129895,411.9688861832346,0.4176289414788577,32473.75,129895,0.25,0.3916901599809789,0.7185507440921101
Tamil Nadu,2022,1131070,0.618755619166479,0.1657969786235418,119293,62687,446.9234573250564,0.6608626832222175,15671.75,62687,0.25,0.1470362134969542,0.8718120563528793
Tamil Nadu,2023,1065805,0.5807858164145395,0.17647338542148616,312034,55732,313.3397373265186,0.862633945288922,13933.0,55732,0.25,0.33198662044182564,0.7507582919025837
Rajasthan,2019,296164,0.8284012040036135,0.33416946797471764,62495,54145,250.31832117434516,0.4843247157492859,13536.25,54145,0.25,0.34813059656136464,0.7417678988598504
Rajasthan,2020,401070,0.7809881719399948,0.23824893038343717,103712,43329,330.99190458384646,0.8014450223841567,10832.25,43329,0.25,0.3396134091305757,0.7464840178399016
Rajasthan,2021,413623,0.7046889736262936,0.22161680287075503,90194,70564,185.0727737940457,0.6635006739907832,17641.0,70564,0.25,0.3460083215875326,0.7429374573409492
Rajasthan,2022,429850,0.659058130590823,0.23956745625770226,73856,23261,474.66920395430395,0.6705078018361996,5815.25,23261,0.25,0.2124037454926137,0.8248077455366887
Rajasthan,2023,452863,0.6830198735053216,0.24032260538332054,50364,76083,110.52126793187331,0.4733802588280556,19020.75,76083,0.25,0.23721578048990533,0.8082664445195049
Karnataka,2019,415892,0.8357429234336832,0.07606239956265473,107535,69733,106.81200918287921,0.6589272425520187,17433.25,69733,0.25,0.3843179238840853,0.7223774125485745
Karnataka,2020,455070,0.8508627365693006,0.06132856703263558,83614,66587,366.1002550831967,0.8462548554301188,16646.75,66587,0.25,0.2934806733030083,0.773107801793759
